Text,Date,Sentiment,Company
"  Protective Put, a simple addition for peace and confidence: Shubham Agarwal",2023-05-06,2,
  More than 40 smallcaps give double digit return as market ends flat,2023-05-06,0,
"  Dow has best day since January 6 after Apple rally, jobs data",2023-05-06,0,
  Daily Voice | Green Portfolio's Divam Sharma expects a Fed pivot starting September,2023-05-06,0,
"Union Bank Q4 results: PAT up by 61%, declares dividend; key highlights here",2023-05-06,0,union
"Seven Adani stocks lose ₹3,782 crore m-cap this week; check details",2023-05-06,2,adani
"Paytm strengthens merchant payments leadership, deploys 71 lakh devices in April",2023-05-06,1,
Stock mkt dips on HDFC twins rebalancing. Experts list out these stocks to buy,2023-05-06,2,hdfc
Buy or sell: Sumeet Bagadia recommends three stocks to buy on Monday,2023-05-06,1,sumeet
"Three 1:2 bonus shares: Multibagger IPO turns ₹14,685 to ₹1.58 lakh in 6 yrs",2023-05-06,2,
"Global markets: Dow has best day since 6 January after Apple rally, jobs data",2023-05-06,1,
"MSCI to lower free float of 2 Adani group cos — Adani Total, Adani Transmission",2023-05-06,2,adani
Apple share price buoys US stock market after Q4 earnings,2023-05-06,1,
HDFC twin stocks slide over outflow fears post merger,2023-05-06,2,hdfc
"IT stock hit fresh 52-week-high after robust Q4 numbers, PAT rises 31% YoY, 100% dividend declared",2023-05-05,1,
"Bulk deals on May 5: Manappuram, others exchange hands; Check buyers & sellers",2023-05-05,2,
"Paytm's consolidated net loss narrows to ₹167.5 cr in Q4, revenue up over 51%",2023-05-05,2,consolidated
"Ashish Dhawan stock hit 20% upper circuit after Q4 net profit rises 113%, Board declares 250% dividend",2023-05-05,1,
Learn with ETMarkets: All you need to know about premium decay in options trading,2023-05-06,0,
More dominos waiting to fall in the US banking business: Aswath Damodaran,2023-05-06,2,
Paul Ormerod's investment rules for success for sceptical investors,2023-05-06,0,
"Adani Group: MSCI to reduce free float in Adani Total Gas, Adani Transmission in May review",2023-05-06,2,adani
Stock picks of the week: 4 stocks with score improvement and upside potential of up to 23%,2023-05-06,1,
4 small and mid caps FMCG stocks with strong brands with an upside potential up to 32 %,2023-05-06,1,
"Rs 11,000 cr boon! Not only videshi, but even desi investors bet big in 5 Adani companies in March quarter",2023-05-06,0,adani
Midcaps with long term perspective; 4 stocks with high ROE & net profit margin,2023-05-06,1,
China’s lackluster corporate profits add to angst for investors,2023-05-06,1,
Top 10 stocks that saw increase in retail ownership in March quarter,2023-05-06,0,
Wild week in banks sends indexes of cross-asset tumult spinning,2023-05-06,1,
Poonawalla Fincorp and Bajaj Finance are top picks from NBFC sector for FY24: Siddhartha Khemka,2023-05-06,1,poonawalla
Apple's results send shares surging to nine-month high,2023-05-06,1,
5 world market themes for the week ahead,2023-05-06,1,
Scope Ratings places US credit ratings under review for possible downgrade,2023-05-06,0,
"US bank lending touches record as deposits fall, Fed data shows",2023-05-06,2,
"Earnings booster! 44 smallcap, 5 midcap stocks gave Sensex-beating returns last week",2023-05-06,2,
"Dow has best day since Jan 6 after Apple rally, jobs data",2023-05-06,0,
Silver Point gets NCLT nod to take over IVRCL Chengapalli Tollways,2023-05-06,1,silver
HDFC twins log the biggest single-day decline in 3 years,2023-05-06,1,hdfc
Stocks drop 1% on deep selloff in HDFC twins,2023-05-06,2,hdfc
Adani Enterprises' ability to service debt improves,2023-05-06,2,adani
Top 5 large- & mid-cap funds that have given inflation-beating returns since launch,2023-05-05,0,
Demand uncertainty may weigh on Havells stock; B2C sales show muted trend,2023-05-06,0,havells
"Nexus Select Trust to raise Rs 3,200 crore through IPO next week",2023-05-06,1,
"Trent stays on growth track, stock rises 18% in 3 months; hit margins in Q4",2023-05-06,1,trent
"Sebi revises requirements for issuance, listing of transition bonds",2023-05-06,0,
"HDFC twins take mkts down by 1%, BSE-listed firms investors lose Rs 1.4 trn",2023-05-06,2,hdfc
HDFC twins sink 6% on MSCI weighting update; biggest 1-day fall in 3 years,2023-05-06,2,hdfc
"Demat additions slow in April despite sharp market rally, shows data",2023-05-06,0,
"Sensex plunges 695 pts, Nifty below 18,100 as HDFC twins sink up to 6%",2023-05-06,2,hdfc
Sebi prescribes additional disclosures for issuing transition bonds,2023-05-06,0,
Federal Bank slumps 8% despite record profit of Rs 903 cr in Q4; here's why,2023-05-06,2,
CEAT rallies over 5% in weak market on 5-fold jump in Q4 net,2023-05-06,1,ceat
ITC increases stake in food brand Sproutlife to 39.42% for Rs 175 cr,2023-05-06,1,itc
Limited downside seen in markets as over half of Nifty500 stks hold 200-DMA,2023-05-06,0,
Investors book profit in BHEL; stock slides 7% after soaring 26% in a month,2023-05-06,1,
"Sebi to tell brokers, mutual funds to limit use of financial influencers",2023-05-06,0,
"Stable macro data, earnings trigger FPI buying in shares in April: NSDL",2023-05-06,1,
Paytm shares rise 4% ahead of Q4FY23 results; here's what brokerages expect,2023-05-06,1,
United Breweries hits 52-week low as high RM prices hurt Q4FY23 margins,2023-05-06,1,united
Sundram Fasteners hits new life-time high; gains 5% on solid Q4 earnings,2023-05-06,1,sundram
Manappuram in freefall as ED freezes Rs 143 cr-assets; sinks 21% in 3 days,2023-05-06,2,manappuram
"Gold price rises Rs 220 to Rs 62,400, silver jumps Rs 1,150 to 78,250",2023-05-06,1,silver
Bitcoin perpetuals becoming an even bigger driver of digital token's price,2023-05-06,1,
"Coal India Q4 preview: Revenue growth, PAT, wage hike impact, key factors here",2023-05-06,1,
"  Coal India preview: Offtake to be higher in Q4; guidance on coal availability, price hike to be in focus",2023-05-06,1,
  5 things to watch out for during the Berkshire Hathaway AGM,2023-05-06,1,
"FPIs pump in ₹10,850 cr in equities in 4 days of May; DIIs turn net sellers",2023-05-06,1,
How much funds outflow will HDFC Bank-HDFC merged entity see after MSCI plan,2023-05-06,0,hdfc
"8 stocks to turn ex-dividend; Oracle Financial, Coforge, others: Check list here",2023-05-06,0,oracle
Berkshire Hathaway earnings: Check details of Warren Buffet-led firm's Q1 report,2023-05-06,1,
"Berkshire AGM: Investment wisdom, succession plan among 10 things Buffett may speak on",2023-05-06,1,
Temasek considers investing $100 million in BlueStone,2023-05-06,1,
Portfolio created by ChatGPT reports better returns than top funds in UK,2023-05-06,0,
"  Coal India March quarter net profit misses estimates, down 18%",2023-05-07,2,
  Momentum takes break but these 3 stocks to return upto 9% in short-term,2023-05-07,0,
  TPG-backed RR Kabel files IPO papers with Sebi,2023-05-07,0,
"  Headwinds from US banks fallout, debt default fears to keep investors anxious",2023-05-07,0,
"  Daily Voice | IT sector growth expected to be muted in FY24, recovery likely from FY25, says Pankaj Pandey of ICICI Securities",2023-05-07,1,icici
  Trade setup for Monday: Top 15 things to know before the opening bell,2023-05-07,1,
  Dalal Street Week Ahead: 10 key factors that will keep traders busy,2023-05-07,0,
"Mahanagar Gas could hit lifetime high, brokerage sees 75% potential upside",2023-05-07,1,mahanagar
Cooling commodities warm Q4 earnings,2023-05-07,2,
"Ashish Kacholia multibagger stock reports 72% Q4 PAT growth, Board declares ₹10 per share dividend",2023-05-07,1,
"Coal India logs 62% growth in FY23 net profit at Rs28,124 cr",2023-05-07,1,
